dataset,earliness_factor,ptsepsilon,warmup_steps,drop_probability,accuracy,earliness
Haptics,0.25,10,5,0.25,0.41883116883116883,0.3735885390961009
ECGFiveDays,0.5,0,20,0.75,1.0,1.0
CricketX,0.25,10,5,0.25,0.7102564102564103,0.4848204331899983
Fish,0.75,0,20,0.75,0.92,1.0
OSULeaf,0.5,0,20,0.5,0.7603305785123967,1.0
Trace,0.25,0,20,0.75,0.72,0.1957813767234388
Beef,0.25,0,20,0.5,0.5333333333333333,1.0
Lightning2,0.25,10,5,0.5,0.5409836065573771,0.0
UWaveGestureLibraryX,0.25,10,5,0.75,0.7613065326633166,1.0
MedicalImages,0.75,0,20,0.5,0.7355263157894737,1.0
CBF,0.75,0,20,0.75,0.9744444444444444,1.0
ChlorineConcentration,0.25,10,5,0.75,0.5325520833333334,3.1565656565656566e-06
CBF,0.25,0,20,0.25,0.6644444444444444,0.18764763779527563
SonyAIBORobotSurface2,0.25,10,5,0.5,0.8667366211962224,0.2839489674707602
OliveOil,0.25,10,5,0.5,0.4,0.0
OSULeaf,0.75,0,20,0.5,0.7727272727272727,1.0
SonyAIBORobotSurface2,0.25,10,5,0.75,0.8803777544596013,0.30762318393640353
TwoPatterns,0.25,10,5,0.25,0.57175,0.5378976065491813
Wafer,0.5,0,20,0.75,0.9978909798831928,1.0
FaceAll,0.75,0,20,0.25,0.7928994082840237,1.0
Yoga,0.75,0,20,0.5,0.8183333333333334,0.3749057974253531
UWaveGestureLibraryX,0.75,0,20,0.25,0.8115577889447236,1.0
CricketY,0.25,10,5,0.5,0.676923076923077,0.5495923913043478
TwoPatterns,0.25,10,5,0.75,0.25875,9.764404449443819e-06
FaceAll,0.75,0,20,0.75,0.8088757396449704,1.0
OliveOil,0.5,0,20,0.75,0.4,0.060046865846514356
Beef,0.25,10,5,0.75,0.2,0.0
Haptics,0.5,0,20,0.25,0.487012987012987,1.0
CricketZ,0.5,0,20,0.25,0.7692307692307693,1.0
SyntheticControl,0.25,0,20,0.5,0.9933333333333333,1.0
SonyAIBORobotSurface2,0.75,0,20,0.75,0.8719832109129066,1.0
MoteStrain,0.5,10,5,0.25,0.8146964856230032,0.3148510709504685
OliveOil,0.25,0,20,0.75,0.4,0.00919742237844171
SyntheticControl,0.25,10,5,0.25,0.88,0.32723902157164864
Wafer,0.25,0,20,0.75,0.8921155094094744,0.0
UWaveGestureLibraryY,0.25,10,5,0.25,0.6267448352875489,0.576796899077974
TwoPatterns,0.5,0,20,0.75,0.9985,1.0
FaceFour,0.5,10,5,0.25,0.6363636363636364,0.2105047158548233
MedicalImages,0.75,0,20,0.75,0.7473684210526316,1.0
Lightning2,0.5,0,20,0.25,0.819672131147541,1.0
NonInvasiveFatalECGThorax1,0.5,0,20,0.75,0.917557251908397,1.0
Adiac,0.5,0,20,0.5,0.680306905370844,1.0
GunPoint,0.75,0,20,0.25,0.9533333333333334,1.0
FaceFour,0.25,0,5,0.25,0.9090909090909091,1.0
Beef,0.25,0,20,0.75,0.2,0.0
ItalyPowerDemand,0.25,0,20,0.75,0.49951409135082603,0.008831521739130436
Beef,0.25,10,5,0.5,0.2,0.0
InlineSkate,0.75,0,20,0.75,0.2290909090909091,1.0
CricketZ,0.75,0,20,0.25,0.7538461538461538,1.0
CinCECGTorso,0.75,0,20,0.75,0.6297101449275362,1.0
Mallat,0.25,0,20,0.5,0.9603411513859275,1.0
Beef,0.5,10,5,0.25,0.6666666666666666,0.612579957356077
ECG200,0.75,0,20,0.75,0.87,1.0
CricketX,0.25,0,20,0.25,0.7769230769230769,1.0
Mallat,0.5,0,20,0.5,0.962046908315565,1.0
Adiac,0.75,0,20,0.75,0.59846547314578,1.0
UWaveGestureLibraryY,0.5,0,20,0.25,0.7191513121161363,1.0
Mallat,0.25,10,5,0.25,0.5970149253731343,0.3313455870128766
TwoPatterns,0.75,0,20,0.5,0.999,1.0
OliveOil,0.75,0,20,0.5,0.6,1.0
Fish,0.75,0,20,0.5,0.9142857142857143,1.0
OSULeaf,0.5,0,20,0.25,0.7148760330578512,1.0
Symbols,0.25,10,5,0.25,0.8321608040201005,0.28043065738575024
ItalyPowerDemand,0.5,10,5,0.25,0.9193391642371235,1.0
CBF,0.25,10,5,0.25,0.7566666666666667,0.2142634514435696
SonyAIBORobotSurface2,0.25,10,5,0.25,0.8467995802728226,0.26210594846491225
MoteStrain,0.25,10,5,0.25,0.810702875399361,0.262626547858099
DiatomSizeReduction,0.25,0,20,0.5,0.9477124183006536,0.2089712936046512
UWaveGestureLibraryY,0.5,0,20,0.5,0.724176437744277,1.0
Lightning7,0.5,0,20,0.5,0.8767123287671232,1.0
Yoga,0.25,0,20,0.75,0.5356666666666666,0.0
ECGFiveDays,0.5,0,20,0.25,0.9988385598141696,1.0
CBF,0.5,10,5,0.25,0.8444444444444444,0.25702919947506564
Trace,0.25,10,5,0.75,0.72,0.23199893552311435
Yoga,0.5,0,20,0.5,0.5356666666666666,0.0
SonyAIBORobotSurface1,0.25,0,5,0.25,0.8602329450915142,0.13786865942028986
ChlorineConcentration,0.5,0,20,0.5,0.56328125,0.14259943181818183
Yoga,0.25,10,5,0.75,0.5356666666666666,1.5644555694618272e-06
SyntheticControl,0.25,10,5,0.5,0.89,0.33510689522342063
SonyAIBORobotSurface2,0.25,0,5,0.25,0.8394543546694648,0.2298239903143275
Beef,0.5,0,20,0.5,0.6666666666666666,1.0
ChlorineConcentration,0.75,0,20,0.5,0.63046875,1.0
Mallat,0.25,10,5,0.5,0.6119402985074627,0.3460732039975746
FacesUCR,0.75,0,20,0.5,0.937560975609756,1.0
TwoPatterns,0.25,0,20,0.75,0.99975,1.0
CBF,0.25,10,5,0.5,0.7933333333333333,0.24613681102362203
WordSynonyms,0.5,0,20,0.5,0.6520376175548589,1.0
Wafer,0.25,0,20,0.5,0.8921155094094744,0.0
